nome,sigla,sigla_superior,unidade_organizacional,total_servidores
INSTITUTO FEDERAL DA PARAIBA,IFPB,NAO INFORMADO,NAO INFORMADO,2490
REITORIA DO IFPB,REITORIA,IFPB,REITORIA,2490
GABINETE-REITORIA - REITORIA,GAB-RE,REITORIA,REITORIA,9
PRÓ-REITORIA DE ENSINO,PRE-RE,REITORIA,REITORIA,59
PRÓ-REITORIA DE EXTENSÃO E CULTURA,PROEXC-RE,REITORIA,REITORIA,14
"PRÓ-REITORIA PESQUISA, INOVAÇÃO PÓS-GRADUAÇÃO - REITORIA",PRPIPG-RE,REITORIA,REITORIA,16
PRÓ-REITORIA DE ADMINISTRAÇÃO E FINANÇAS,PRAF-RE,REITORIA,REITORIA,54
AUDITORIA INTERNA GERAL - REITORIA,AUDI-GE-RE,REITORIA,REITORIA,7
PROCURADORIA FEDERAL - REITORIA,PF-RE,REITORIA,REITORIA,6
CAMPUS JOAO PESSOA,CAMPUS-JP,REITORIA,CAMPUS JOÃO PESSOA,637
CAMPUS CAMPINA GRANDE,CAMPUS-CG,REITORIA,CAMPUS CAMPINA GRANDE,260
GABINETE - CAMPUS CAMPINA GRANDE,GAB-CG,DG-CG,CAMPUS CAMPINA GRANDE,1
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS CAMPINA GRANDE,DDE-CG,DG-CG,CAMPUS CAMPINA GRANDE,216
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS  CAMPINA GRANDE",DAPF-CG,DG-CG,CAMPUS CAMPINA GRANDE,22
CAMPUS SOUSA,CAMPUS-SS,REITORIA,CAMPUS SOUSA,197
GABINETE-CAMPUS SOUSA,GAB-SS,DG-SS,CAMPUS SOUSA,5
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS SOUSA,DDE-SS,DG-SS,CAMPUS SOUSA,158
"DIRETORIA  DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS SOUSA",DAP-SS,DG-SS,CAMPUS SOUSA,31
CAMPUS CABEDELO,CAMPUS-CB,REITORIA,CAMPUS CABEDELO,120
GABINETE DA DIREÇÃO GERAL DO CAMPUS CABEDELO,GAB-CB,DG-CB,CAMPUS CABEDELO,1
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS CABEDELO,DDE-CB,DG-CB,CAMPUS CABEDELO,102
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS CABEDELO",DAPF-CB,DG-CB,CAMPUS CABEDELO,11
CAMPUS CAJAZEIRAS,CAMPUS-CZ,REITORIA,CAMPUS CAJAZEIRAS,181
GABINETE DIREÇÃO GERAL - CAMPUS CAJAZEIRAS,GDG-CZ,DG-CZ,CAMPUS CAJAZEIRAS,2
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS CAJAZEIRAS,DDE-CZ,DG-CZ,CAMPUS CAJAZEIRAS,138
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS CAJAZEIRAS",DAPF-CZ,DG-CZ,CAMPUS CAJAZEIRAS,19
CAMPUS PRINCESA ISABEL,CAMPUS-PI,REITORIA,CAMPUS PRINCESA ISABEL,80
DIRETORIA DE DESENVOLVIMENTO DE ENSINO DO CAMPUS PRINCESA ISABEL,DDE-PI,DG-PI,CAMPUS PRINCESA ISABEL,67
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS PRINCESA ISABEL",DAPF-PI,DG-PI,CAMPUS PRINCESA ISABEL,8
CAMPUS PICUI,CAMPUS-PC,REITORIA,CAMPUS PICUÍ,93
CAMPUS MONTEIRO,CAMPUS-MT,REITORIA,CAMPUS MONTEIRO,93
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS MONTEIRO",DAPF-MT,DG-MT,CAMPUS MONTEIRO,9
CAMPUS PATOS,CAMPUS-PT,REITORIA,CAMPUS PATOS,105
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS PATOS,DDE-PT,DG-PT ,CAMPUS PATOS,85
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS PATOS",DAPF-PT,DG-PT ,CAMPUS PATOS,13
DIRETORIA GERAL DE TECNOLOGIA DA INFORMAÇÃO - REITORIA,DGTI-RE,REITORIA,REITORIA,26
COORDENAÇÃO DE DESENVOLVIMENTO E GERENCIAMENTO DE SISTEMAS - REITORIA,CDGS-RE,DGTI-RE,REITORIA,5
COORDENAÇÃO DE INFRAESTRUTURA E MANUTENÇÃO DE REDES - REITORIA,CIMR-RE,DGTI-RE,REITORIA,7
DIRETORIA DE PLANEJAMENTO INSTITUCIONAL - REITORIA,DPI-RE,REITORIA,REITORIA,3
DIRETORIA DE GERENCIAMENTO E FISCALIZAÇÃO DE OBRAS DE ENGENHARIA - REITORIA,DGFOE-RE,REITORIA,REITORIA,23
COORDENAÇÃO DE OBRAS DE ENGENHARIA - REITORIA,COE-RE,DGFOE-RE,REITORIA,16
SECRETARIA DA REITORIA,SEC-RE,GAB-RE,REITORIA,1
COORDENAÇÃO DE MEMÓRIA E ARQUIVO,CMA-RE,DCML-RE,REITORIA,3
OUVIDORIA - REITORIA,OUVIDORIA-RE,REITORIA,REITORIA,1
DIREÇÃO GERAL DO CAMPUS CAJAZEIRAS,DG-CZ,CAMPUS-CZ,CAMPUS CAJAZEIRAS,179
DIREÇÃO GERAL DO CAMPUS CAMPINA GRANDE,DG-CG,CAMPUS-CG,CAMPUS CAMPINA GRANDE,259
DIRECAO GERAL DO CAMPUS SOUSA,DG-SS,CAMPUS-SS,CAMPUS SOUSA,197
COORDENAÇÃO DA COMISSÃO PERMANENTE DE CONCURSOS - REITORIA,COMPEC-RE,REITORIA,REITORIA,4
DIRETORIA DE INOVAÇÃO TECNOLÓGICA - REITORIA,DIT-RE,PRPIPG-RE,REITORIA,2
ASSISTÊNCIA DA PRÓ-REITORIA DE ENSINO - REITORIA,APRE-RE,PRE-RE,REITORIA,1
"DEPARTAMENTO DE CADASTRO ACADÊMICO, CERTIFICAÇÃO E DIPLOMAÇÃO - REITORIA",DCAD-RE,PRE-RE,REITORIA,7
COORDENAÇÃO DE PRODUÇÃO AUDIOVISUAL - REITORIA,CPAV-RE,PRE-RE,REITORIA,8
DIRETORIA DE EDUCAÇÃO SUPERIOR - REITORIA,DES-RE,PRE-RE,REITORIA,6
DIRETORIA DE EDUCAÇÃO PROFISSIONAL - REITORIA,DEP-RE,PRE-RE,REITORIA,3
DIRETORIA DE EDUCAÇÃO A DISTÂNCIA - REITORIA,DEAD-RE,PRE-RE,REITORIA,11
COORDENAÇÃO DE EDUCAÇÃO À DISTÂNCIA - REITORIA,CED-RE,DEAD-RE,REITORIA,1
DIRETORIA DE ARTICULAÇÃO PEDAGÓGICA - REITORIA,DAPE-RE,PRE-RE,REITORIA,7
COORDENAÇÃO DE LEGISLAÇÃO EDUCACIONAL - REITORIA,COLED-RE,DAPE-RE,REITORIA,1
DIRETORIA DE PESQUISA - REITORIA,DP-RE,PRPIPG-RE,REITORIA,3
COORDENAÇÃO DE PROGRAMAS DE BOLSAS DE PESQUISA - REITORIA,CPBPESQ-RE,DP-RE,REITORIA,1
DIRETORIA DE PÓS-GRADUAÇÃO - REITORIA,DPG-RE,PRPIPG-RE,REITORIA,2
ASSISTÊNCIA DA PRÓ-REITORIA DE EXTENSÃO - REITORIA,APROEXT-RE,PROEXC-RE,REITORIA,1
COORDENAÇÃO DO NÚCLEO DE ESTUDOS TRANSDISCIPLINARES EM DEPENDÊNCIA QUÍMICA - REITORIA,CNETDEQ-RE,DEXT-RE,REITORIA,1
DIRETORIA GERAL DE GESTÃO DE PESSOAS - REITORIA,DGEP-RE,REITORIA,REITORIA,28
COORDENAÇÃO DE CONTROLE E EXPEDIÇÃO DE DIÁRIAS - REITORIA,CCED-RE,DFIN-RE,REITORIA,4
COORDENAÇÃO DE CONTRATOS - REITORIA,CC-RE,DCCL-RE,REITORIA,2
DEPARTAMENTO DE  FINANÇAS - REITORIA,DFIN-RE,PRAF-RE,REITORIA,20
DIRETORIA DE CADASTRO E PAGAMENTO DE PESSOAL - REITORIA,DCPP-RE,DGEP-RE,REITORIA,9
COORDENAÇÃO DE PRODUÇÃO E FOLHA DE PAGAMENTO - REITORIA,CPFP-RE,DCPP-RE,REITORIA,3
COORDENAÇÃO DE APOSENTADORIA E PENSÕES - REITORIA,CAPEN-RE,DCPP-RE,REITORIA,1
DIRETORIA DE DESENVOLVIMENTO DE PESSOAS - REITORIA,DDP-RE,DGEP-RE,REITORIA,7
COORDENAÇÃO DE PATRIMÔNIO - REITORIA,CPAT-RE,DAMRP-RE,REITORIA,2
COORDENAÇÃO E TECNOLOGIA DA INFORMAÇÃO - CAMPUS CG,CTI-CG,DG-CG,CAMPUS CAMPINA GRANDE,3
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS CAMPINA GRANDE,CGP-CG,DG-CG,CAMPUS CAMPINA GRANDE,4
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO DO CAMPUS CABEDELO,CTI-CB,DG-CB,CAMPUS CABEDELO,2
"Coordenação de Compras, Licitações e Contratos - Campus Campina Grande",CCLC-CG,DAPF-CG,CAMPUS CAMPINA GRANDE,4
"COORDENAÇÃO DE MANUTENÇÃO, SEGURANÇA  E  TRANSPORTE -  CAMPUS  CAMPINA GRANDE",CMST-CG,DAPF-CG,CAMPUS CAMPINA GRANDE,2
COORDENAÇÃO DE  EXECUÇÃO ORÇAMENTÁRIA E  FINANCEIRA - CAMPUS CAMPINA GRANDE,CEOF-CG,DAPF-CG,CAMPUS CAMPINA GRANDE,4
COORDENAÇÃO DE  EXTENSÃO - CAMPUS CAMPINA GRANDE,CE-CG,DDE-CG,CAMPUS CAMPINA GRANDE,1
COORDENACAO DE ESTAGIOS - CAMPUS CAMPINA GRANDE,COE-CG,DDE-CG,CAMPUS CAMPINA GRANDE,1
COORDENAÇÃO DO CONTROLE ACADÊMICO - CAMPUS CG,CCA-CG,DDE-CG,CAMPUS CAMPINA GRANDE,6
Coordenação Pedagógica - Campus Campina Grande,COPED-CG,DDE-CG,CAMPUS CAMPINA GRANDE,5
Coordenação do Proeja - Campus Campina Grande,PROEJA-CG,DDE-CG,CAMPUS CAMPINA GRANDE,5
COORDENAÇÃO DE  ASSISTÊNCIA AO ESTUDANTE - CAMPUS CAMPINA GRANDE,CAEST-CG,DDE-CG,CAMPUS CAMPINA GRANDE,4
Coordenação do Curso de Mineração - Campus Campina Grande,CCM-CG,DDE-CG,CAMPUS CAMPINA GRANDE,11
COORDENAÇÃO DOS CURSOS DE INFORMÁTICA - CAMPUS CG,CCTI-CG,COAIN-CG,CAMPUS CAMPINA GRANDE,2
Coordenação do Curso de Telemática - Campus Campina Grande,CCT-CG,COAIN-CG,CAMPUS CAMPINA GRANDE,1
Coordenação do Curso de Petróleo e Gás - Campus Campina Grande,CCPeG-CG,DDE-CG,CAMPUS CAMPINA GRANDE,10
Coordenação do Curso de Construção de Edifícios - Campus Campina Grande,CCCE-CG,CCS-CG,CAMPUS CAMPINA GRANDE,9
Coordenação do Curso de Licenciatura em Matemática - Campus Campina Grande,CCLM-CG,CCS-CG,CAMPUS CAMPINA GRANDE,2
Coordenação do Napne - Campus Campina Grande,NAPNE-CG,DDE-CG,CAMPUS CAMPINA GRANDE,9
DIREÇÃO GERAL - CAMPUS PICUÍ,DG-PC,CAMPUS-PC,CAMPUS PICUÍ,93
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS DO CAMPUS PICUÍ",DAPF-PC,DG-PC,CAMPUS PICUÍ,9
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS PICUÍ,DDE-PC,DG-PC,CAMPUS PICUÍ,78
CHEFIA DE GABINETE DA DIREÇÃO GERAL DO CAMPUS PICUÍ,CGDG-PC,DG-PC,CAMPUS PICUÍ,1
COORDENAÇÃO DE PESQUISA  - CAMPUS PICUÍ,CPESQ-PC,DG-PC,CAMPUS PICUÍ,1
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS PICUÍ,CTI-PC,DG-PC,CAMPUS PICUÍ,2
COORDENAÇÃO DE MANUT. SEG. E TRANSPORTE - CAMPUS PICUÍ,CMST-PC,DAPF-PC,CAMPUS PICUÍ,1
COORDENAÇÃO DE PLANEJAMENTO - CAMPUS PICUÍ,COPLAN-PC,DAPF-PC,CAMPUS PICUÍ,2
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS PICUÍ,CGP-PC,DAPF-PC,CAMPUS PICUÍ,1
COORDENAÇÃO DE PATRIMÔNIO E ALMOXARIFADO - CAMPUS PICUÍ,CPA-PC,DAPF-PC,CAMPUS PICUÍ,2
COORDENAÇÃO DE COMPRAS E CONTRATOS - CAMPUS PICUÍ,CCC-PC,DAPF-PC,CAMPUS PICUÍ,2
COORDENAÇÃO PEDAGÓGICA E  DE APOIO AO ESTUDANTE - CAMPUS PICUÍ,COPAE-PC,DDE-PC,CAMPUS PICUÍ,9
COORDENAÇÃO DE TURNO - CAMPUS PICUÍ,CT-PC,DDE-PC,CAMPUS PICUÍ,2
COORDENAÇÃO DO CURSO SUPERIOR EM AGROECOLOGIA - CAMPUS PICUÍ,CCSA-PC,DDE-PC,CAMPUS PICUÍ,12
COORDENAÇÃO DO CONTROLE ACADÊMICO - CAMPUS PICUÍ,CCA-PC,DDE-PC,CAMPUS PICUÍ,4
COORDENAÇÃO DE BIBLIOTECA - CAMPUS PICUÍ,CB-PC,DDE-PC,CAMPUS PICUÍ,1
COORDENAÇÃO DE ESTÁGIO - CAMPUS PICUÍ,CE-PC,DDE-PC,CAMPUS PICUÍ,1
COORDENAÇÃO DE PESQUISA E EXTENSÃO DO CAMPUS CABEDELO,CPEX-CB,DG-CB,CAMPUS CABEDELO,1
"COORDENAÇÃO DE MANUTENÇÃO, SEGURANÇA E TRANSPORTE DO CAMPUS CABEDELO",COMAST-CB,DAPF-CB,CAMPUS CABEDELO,1
COORDENAÇÃO DE PLANEJAMENTO E ORÇAMENTO DO CAMPUS CABEDELO,COPLAN-CB,DAPF-CB,CAMPUS CABEDELO,1
COORDENAÇÃO DE GESTÃO DE PESSOAS DO CAMPUS CABEDELO,CGP-CB,DAPF-CB,CAMPUS CABEDELO,1
DIRETORIA GERAL  DO CAMPUS CABEDELO,DG-CB,CAMPUS-CB,CAMPUS CABEDELO,120
COORDENAÇÃO DE FINANÇAS E CONTABILIDADE DO CAMPUS CABEDELO,CFC-CB,DAPF-CB,CAMPUS CABEDELO,2
COORDENAÇÃO PEDAGÓGICA E DE APOIO AO ESTUDANTE DO CAMPUS CABEDELO,COPAE-CB,DDE-CB,CAMPUS CABEDELO,5
COORDENACAO DE ESTAGIOS DO CAMPUS CABEDELO,COE-CB,DDE-CB,CAMPUS CABEDELO,2
COORDENAÇÃO DO CURSO TÉCNICO EM MEIO AMBIENTE DO CAMPUS CABEDELO,CTMA-CB,DDE-CB,CAMPUS CABEDELO,7
COORDENAÇÃO DO CURSO SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO DO CAMPUS CABEDELO,CCSDG-CB,DDE-CB,CAMPUS CABEDELO,9
COORDENAÇÃO DE CONTROLE ACADÊMICO DO CAMPUS CABEDELO,CCA-CB,DDE-CB,CAMPUS CABEDELO,3
COORDENAÇÃO DE BIBLIOTECA DO CAMPUS CABEDELO,COB-CB,DDE-CB,CAMPUS CABEDELO,4
COORDENAÇÃO DE FORMAÇÃO GERAL DO CAMPUS CABEDELO,COFORG-CB,DDE-CB,CAMPUS CABEDELO,18
COORDENAÇÃO DO CURSO TÉCNICO EM RECURSOS PESQUEIROS DO CAMPUS CABEDELO,CCTRP-CB,DDE-CB,CAMPUS CABEDELO,11
COORDENAÇÃO DE PROJETOS DO CAMPUS CABEDELO,CPROJ-CB,DDE-CB,CAMPUS CABEDELO,1
COORDENAÇÃO DE TURNO DO CAMPUS CABEDELO,CT-CB,DDE-CB,CAMPUS CABEDELO,2
Coordenação dos Cursos Superiores - Campus Campina Grande,CCS-CG,DDE-CG,CAMPUS CAMPINA GRANDE,11
"DIRETORIA DE COMUNICAÇÃO, MANUTENÇÃO E LOGÍSTICA - REITORIA",DCML-RE,PRAF-RE,REITORIA,11
COORDENACÃO DE PROTOCOLO - REITORIA,PROTOCOLO-RE,DCML-RE,REITORIA,3
COORDENAÇÃO DE ALMOXARIFADO - REITORIA,CA-RE,DAMRP-RE,REITORIA,3
BIBLIOTECA - CAMPUS PATOS ,BIB-PT,DDE-PT,CAMPUS PATOS,4
COORDENAÇÃO DE ADMINISTRAÇÃO DE MATERIAIS E RECURSOS PATRIMONIAIS - CAMPUS PATOS,CAMRP-PT,DAPF-PT,CAMPUS PATOS,1
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS PATOS ,CCA-PT ,DDE-PT,CAMPUS PATOS,1
COORDENAÇÃO DO CURSO DE EDIFICAÇÕES -  CAMPUS PATOS ,CCED-PT ,DDE-PT,CAMPUS PATOS,5
COORDENAÇÃO DO CURSO DE ELETROTÉCNICA - CAMPUS PATOS ,CCEL-PT ,DDE-PT,CAMPUS PATOS,3
COORDENAÇÃO DO CURSO DE MANUTENÇÃO E SUPORTE DE INFORMÁTICA - CAMPUS PATOS ,CTMSI-PT ,DDE-PT,CAMPUS PATOS,3
DIREÇÃO GERAL - CAMPUS PATOS ,DG-PT ,CAMPUS-PT,CAMPUS PATOS,105
COORD. CURSO SUPERIOR TECNOL. SEGURANÇA DO TRABALHO - CAMPUS PATOS,CSTST-PT,DDE-PT,CAMPUS PATOS,6
COORDENAÇÃO DE EXECUÇÃO FINANCEIRA - CAMPUS PATOS,COEXF-PT,DAPF-PT,CAMPUS PATOS,2
COORDENACAO DE ESTAGIO - CAMPUS PATOS ,CEST-PT,DDE-PT,CAMPUS PATOS,1
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS PATOS ,CGP-PT ,DAPF-PT,CAMPUS PATOS,2
COORDENAÇÃO DE MANUTENÇÃO E SEGURANÇA - CAMPUS PATOS,CMSE-PT,DAPF-PT,CAMPUS PATOS,1
COORDENAÇÃO PEDAGÓGICA DE APOIO AO ESTUDANTE - CAMPUS PATOS ,COPAE-PT ,DDE-PT,CAMPUS PATOS,8
COORDENAÇÃO DE PESQUISA - CAMPUS PATOS ,CPESQ-PT ,DG-PT ,CAMPUS PATOS,1
COORDENAÇÃO DE PLANEJAMENTO -  CAMPUS PATOS ,COPLAN-PT,DAPF-PT,CAMPUS PATOS,1
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS PATOS ,CTI-PT ,DG-PT ,CAMPUS PATOS,3
CHEFIA DE GABINETE - CAMPUS PATOS,CGAB-PT,DG-PT ,CAMPUS PATOS,1
COORDENAÇÃO DE PROTOCOLO DIÁRIAS E PASSAGENS - CAMPUS PATOS,CPDP-PT ,DAPF-PT,CAMPUS PATOS,1
DIRETORIA GERAL - CAMPUS MONTEIRO,DG-MT,CAMPUS-MT,CAMPUS MONTEIRO,91
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS MONTEIRO,DDE-MT,DG-MT,CAMPUS MONTEIRO,78
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS MONTEIRO,CCA-MT,DDE-MT,CAMPUS MONTEIRO,3
COORDENAÇÃO DO CURSO DE CONSTRUÇÃO DE EDIFÍCIOS - CAMPUS MONTEIRO,CCE-MT,DDE-MT,CAMPUS MONTEIRO,5
COORDENACAO DE ESTAGIOS - CAMPUS MONTEIRO,CE-MT,DDE-MT,CAMPUS MONTEIRO,2
COORDENAÇÃO DE BIBLIOTECA  E RECURSOS MULTIMEIOS - CAMPUS MONTEIRO,CBRM-MT,DDE-MT,CAMPUS MONTEIRO,3
COORDENAÇÃO DE COMUNICAÇÃO INSTITUCIONAL - CAMPUS MONTEIRO,CCI-MT,DG-MT,CAMPUS MONTEIRO,1
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS MONTEIRO,CGP-MT,DAPF-MT,CAMPUS MONTEIRO,2
COORDENAÇÃO DE COMPRAS - CAMPUS MONTEIRO,CC-MT,DAPF-MT,CAMPUS MONTEIRO,1
COORDENAÇÃO DE  PATRIMÔNIO E ALMOXARIFADO  - CAMPUS MONTEIRO,CPA-MT,DAPF-MT,CAMPUS MONTEIRO,1
COORDENAÇÃO DE  EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA  - CAMPUS MONTEIRO,CEOF-MT,DAPF-MT,CAMPUS MONTEIRO,2
"COORDENAÇÃO DE MANUTENÇÃO, TRANSPORTE E SEGURANÇA - CAMPUS MONTEIRO",CMTS-MT,DAPF-MT,CAMPUS MONTEIRO,1
SETOR DE SAÚDE - CAMPUS MONTEIRO,SSAUDE-MT,DDE-MT,CAMPUS MONTEIRO,2
COORDENAÇÃO DE TECNOLOGIA DA INFORMAÇÃO - CAMPUS MONTEIRO,CTI-MT,DG-MT,CAMPUS MONTEIRO,2
COORDENAÇÃO PEDAGÓGICA  - CAMPUS MONTEIRO,COPED-MT,DDE-MT,CAMPUS MONTEIRO,3
DIREÇÃO GERAL - CAMPUS JOÃO PESSOA,DG-JP,CAMPUS-JP,CAMPUS JOÃO PESSOA,636
"DEPARTAMENTO DE INOVAÇÃO, PÓS-GRADUAÇÃO, PESQUISA, EXTENSÃO E DESAFIOS ACADÊMICOS - CAMPUS JP",DIPPED-JP,DG-JP,CAMPUS JOÃO PESSOA,11
DIRETORIA DE DESENVOLVIMENTO DO ENSINO DO CAMPUS JOÃO PESSOA,DDE-JP,DG-JP,CAMPUS JOÃO PESSOA,518
NUCLEO DE TECNOLOGIA DA INFORMACAO,NTI-JP,DG-JP,CAMPUS JOÃO PESSOA,7
UNIDADES ACADÊMICAS	,UA-JP,DDE-JP,CAMPUS JOÃO PESSOA,326
UNIDADE ACADÊMICA DE GESTÃO E NEGÓCIOS		,UA5-JP,UA-JP,CAMPUS JOÃO PESSOA,51
DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS DO CAMPUS JOÃO PESSOA,DAF-JP,DG-JP,CAMPUS JOÃO PESSOA,60
UNIDADE ACADÊMICA 4 - LICENCIATURAS E FORMAÇÃO GERAL -  CAMPUS JOÃO PESSOA,UA4-JP,UA-JP,CAMPUS JOÃO PESSOA,128
UNIDADE ACADÊMICA DE CONTROLES E PROCESSOS INDUSTRIAIS			,UA3-JP,UA-JP,CAMPUS JOÃO PESSOA,58
UNIDADE ACADÊMICA DE INFORMÁTICA,UA2-JP,UA-JP,CAMPUS JOÃO PESSOA,32
